node_id,region,ServerOrClientregion,cluster_id,key_file,clientID,ServerID, PublicIp
0, 'us-west1-b', 0, 0, 'FKA.pem', -1, 0,
1, 'us-west1-b', 0, 0, 'FKA.pem', -1, 1,
2, 'us-west1-b', 0, 0, 'FKA.pem', -1, 2,
3, 'us-west1-b', 0, 0, 'FKA.pem', -1, 3,
4, 'us-west1-b', 0, 0, 'FKA.pem', -1, 4,
5, 'us-west1-b', 0, 0, 'FKA.pem', -1, 5,
6, 'us-west1-b', 0, 0, 'FKA.pem', -1, 6,
7, 'us-west1-b', 0, 0, 'FKA.pem', -1, 7,
8, 'us-west1-b', 0, 0, 'FKA.pem', -1, 8,
9, 'us-west1-b', 0, 0, 'FKA.pem', -1, 9,
10, 'us-west1-b', 0, 0, 'FKA.pem', -1, 10,
11, 'us-west1-b', 0, 0, 'FKA.pem', -1, 11,
12, 'us-west1-b', 0, 1, 'FKA.pem', -1, 12,
13, 'us-west1-b', 0, 1, 'FKA.pem', -1, 13,
14, 'us-west1-b', 0, 1, 'FKA.pem', -1, 14,
15, 'us-west1-b', 0, 1, 'FKA.pem', -1, 15,
16, 'us-west1-b', 0, 1, 'FKE.pem', -1, 16,
17, 'us-west1-b', 0, 1, 'FKE.pem', -1, 17,
18, 'us-west1-b', 0, 1, 'FKE.pem', -1, 18,
19, 'us-west1-b', 0, 1, 'FKE.pem', -1, 19,
20, 'us-west1-b', 0, 1, 'FKE.pem', -1, 20,
21, 'us-west1-b', 0, 1, 'FKE.pem', -1, 21,
22, 'us-west1-b', 0, 1, 'FKE.pem', -1, 22,
23, 'us-west1-b', 0, 1, 'FKE.pem', -1, 23,

24, 'us-west1-b', 1, -1, 'FKA.pem', 0, -1,
25, 'us-west1-b', 1, -1, 'FKA.pem', 4, -1,
26, 'us-west1-b', 1, -1, 'FKA.pem', 8, -1,
27, 'us-west1-b', 1, -1, 'FKA.pem', 12, -1,
28, 'us-west1-b', 1, -1, 'FKA.pem', 16, -1,
29, 'us-west1-b', 1, -1, 'FKA.pem', 20, -1,
30, 'us-west1-b', 1, -1, 'FKA.pem', 1, -1,
31, 'us-west1-b', 1, -1, 'FKA.pem', 5, -1,
32, 'us-west1-b', 1, -1, 'FKE.pem', 9, -1,
33, 'us-west1-b', 1, -1, 'FKE.pem', 13, -1,
34, 'us-west1-b', 1, -1, 'FKE.pem', 17, -1,
35, 'us-west1-b', 1, -1, 'FKE.pem', 21, -1,

36, 'europe-west3-c', 0, 2, 'FKE.pem', -1, 24,
37, 'europe-west3-c', 0, 2, 'FKE.pem', -1, 25,
38, 'europe-west3-c', 0, 2, 'FKE.pem', -1, 26,
39, 'europe-west3-c', 0, 2, 'FKE.pem', -1, 27,
40, 'europe-west3-c', 0, 2, 'FKE.pem', -1, 28,
41, 'europe-west3-c', 0, 2, 'FKE.pem', -1, 29,
42, 'europe-west3-c', 0, 2, 'FKE.pem', -1, 30,
43, 'europe-west3-c', 0, 2, 'FKE.pem', -1, 31,
44, 'europe-west3-c', 0, 2, 'FKU2.pem', -1, 32,
45, 'europe-west3-c', 0, 2, 'FKU2.pem', -1, 33,
46, 'europe-west3-c', 0, 2, 'FKU2.pem', -1, 34,
47, 'europe-west3-c', 0, 2, 'FKU2.pem', -1, 35,

48, 'europe-west3-c', 1, -1, 'FKE.pem', 2, -1,
49, 'europe-west3-c', 1, -1, 'FKE.pem', 6, -1,
50, 'europe-west3-c', 1, -1, 'FKE.pem', 10, -1,
51, 'europe-west3-c', 1, -1, 'FKE.pem', 14, -1,
52, 'europe-west3-c', 1, -1, 'FKU2.pem', 18, -1,
53, 'europe-west3-c', 1, -1, 'FKU2.pem', 22, -1,



54, 'asia-south1-c', 0, 3, 'FKU2.pem', -1, 36,
55, 'asia-south1-c', 0, 3, 'FKU2.pem', -1, 37,
56, 'asia-south1-c', 0, 3, 'FKU2.pem', -1, 38,
57, 'asia-south1-c', 0, 3, 'FKU2.pem', -1, 39,
58, 'asia-south1-c', 0, 3, 'FKU2.pem', -1, 40,
59, 'asia-south1-c', 0, 3, 'FKU2.pem', -1, 41,
60, 'asia-south1-c', 0, 3, 'FKU2.pem', -1, 42,
61, 'asia-south1-c', 0, 3, 'FKU2.pem', -1, 43,
62, 'asia-south1-c', 0, 3, 'FKU2.pem', -1, 44,
63, 'asia-south1-c', 0, 3, 'FKU2.pem', -1, 45,
64, 'asia-south1-c', 0, 3, 'FKU2.pem', -1, 46,
65, 'asia-south1-c', 0, 3, 'FKU2.pem', -1, 47,


66, 'asia-south1-c', 1, -1, 'FKU2.pem', 3, -1,
67, 'asia-south1-c', 1, -1, 'FKU2.pem', 7, -1,
68, 'asia-south1-c', 1, -1, 'FKU2.pem', 11, -1,
69, 'asia-south1-c', 1, -1, 'FKU2.pem', 15, -1,
70, 'asia-south1-c', 1, -1, 'FKU2.pem', 19, -1,
71, 'asia-south1-c', 1, -1, 'FKU2.pem', 23, -1,
